residence,origin
Argentina,Russian Federation
Argentina,Rwanda
Argentina,Senegal
Argentina,Serbia (and Kosovo: S/RES/1244 (1999))
Argentina,Sierra Leone
Argentina,Somalia
Argentina,South Africa
Argentina,Sri Lanka
Argentina,Stateless
Argentina,Sudan
Argentina,Syrian Arab Republic
Argentina,Togo
Argentina,Tunisia
Argentina,Turkey
Argentina,Turkmenistan
Argentina,Ukraine
Argentina,United States of America
Argentina,Venezuela (Bolivarian Republic of)
Argentina,Yemen
Argentina,Zimbabwe
Argentina,Various
Armenia,Azerbaijan
Armenia,Côte d'Ivoire
Armenia,Ethiopia
Armenia,Georgia
Armenia,Iran (Islamic Republic of)
Armenia,Iraq
Armenia,Kazakhstan
Armenia,Lebanon
Armenia,Palestinian
Armenia,Russian Federation
Armenia,Syrian Arab Republic
Armenia,Turkey
Australia,Afghanistan
Australia,Albania
Australia,Algeria
Australia,Angola
Australia,Argentina
Australia,Armenia
Australia,Australia
Australia,Azerbaijan
Australia,Bahrain
Australia,Bangladesh
Australia,Belarus
Australia,Benin
Australia,Bhutan
Australia,Bosnia and Herzegovina
Australia,Brazil
Australia,Bulgaria
Australia,Burundi
Australia,Cambodia
Australia,Cameroon
Australia,Chad
Australia,Chile
Australia,China
Australia,Colombia
Australia,Congo
Australia,Côte d'Ivoire
Australia,Croatia
Australia,Cuba
Australia,Czech Republic
Australia,Democratic People's Republic of Korea
Australia,Democratic Republic of the Congo
Australia,Denmark
Australia,Djibouti
Australia,Ecuador
Australia,Egypt
Australia,El Salvador
Australia,Eritrea
Australia,Ethiopia
Australia,Fiji
Australia,France
Australia,Gambia
Australia,Georgia
Australia,Germany
Australia,Ghana
Australia,Greece
Australia,Guinea
Australia,India
Australia,Indonesia
Australia,Iran (Islamic Republic of)
Australia,Iraq
Australia,Israel
Australia,Italy
Australia,Japan
Australia,Jordan
Australia,Kazakhstan
Australia,Kenya
Australia,Kuwait
Australia,Kyrgyzstan
Australia,Lao People's Democratic Republic
Australia,Latvia
Australia,Lebanon
Australia,Liberia
Australia,Libya
Australia,Malaysia
Australia,Maldives
Australia,Mali
Australia,Malta
Australia,Mauritania
Australia,Mauritius
Australia,Mexico
Australia,Mongolia
Australia,Morocco
Australia,Mozambique
Australia,Myanmar
Australia,Nepal
Australia,Netherlands
Australia,New Zealand
Australia,Niger
Australia,Nigeria
Australia,Pakistan
Australia,Palestinian
Australia,Papua New Guinea
Australia,Peru
Australia,Philippines
Australia,Poland
Australia,Republic of Korea
Australia,Romania
Australia,Russian Federation
Australia,Rwanda
Australia,Samoa
Australia,Saudi Arabia
Australia,Senegal
Australia,Serbia (and Kosovo: S/RES/1244 (1999))
Australia,Sierra Leone
Australia,Solomon Islands
Australia,Somalia
Australia,South Africa
Australia,Sri Lanka
Australia,Stateless
Australia,Sudan
Australia,Sweden
Australia,Syrian Arab Republic
Australia,Tajikistan
Australia,Thailand
Australia,Timor-Leste
Australia,Togo
Australia,Tonga
Australia,Tunisia
Australia,Turkey
Australia,Turkmenistan
Australia,Uganda
Australia,Ukraine
Australia,United Arab Emirates
Australia,United Kingdom of Great Britain and Northern Ireland
Australia,United Republic of Tanzania
Australia,United States of America
Australia,Uzbekistan
Australia,Vanuatu
Australia,Venezuela (Bolivarian Republic of)
Australia,Viet Nam
Australia,Yemen
Australia,Zambia
Australia,Zimbabwe
Australia,Various
Austria,Afghanistan
Austria,Albania
Austria,Algeria
Austria,Angola
Austria,Armenia
Austria,Azerbaijan
Austria,Bangladesh
Austria,Belarus
Austria,Benin
Austria,Bhutan
Austria,Bolivia (Plurinational State of)
Austria,Bosnia and Herzegovina
Austria,Brazil
Austria,Bulgaria
Austria,Burkina Faso
Austria,Burundi
Austria,Cambodia
Austria,Cameroon
Austria,Canada
Austria,Chad
Austria,China
Austria,Colombia
Austria,Congo
Austria,Côte d'Ivoire
Austria,Croatia
Austria,Cuba
Austria,Czech Republic
Austria,Democratic Republic of the Congo
Austria,Egypt
Austria,Equatorial Guinea
Austria,Eritrea
Austria,Estonia
Austria,Ethiopia
Austria,France
Austria,Gambia
Austria,Georgia
Austria,Ghana
Austria,Guatemala
Austria,Guinea
Austria,Guinea-Bissau
Austria,India
Austria,Iran (Islamic Republic of)
Austria,Iraq
Austria,Israel
Austria,Jordan
Austria,Kazakhstan
Austria,Kenya
Austria,Kuwait
Austria,Kyrgyzstan
Austria,Lao People's Democratic Republic
Austria,Latvia
Austria,Lebanon
Austria,Liberia
Austria,Libya
Austria,Madagascar
Austria,Mali
Austria,Mauritania
Austria,Mexico
Austria,Mongolia
Austria,Montenegro
Austria,Morocco
Austria,Myanmar
Austria,Nepal
Austria,Niger
Austria,Nigeria
Austria,Pakistan
Austria,Peru
Austria,Philippines
Austria,Republic of Korea
Austria,Republic of Moldova
Austria,Romania
Austria,Russian Federation
Austria,Rwanda
Austria,Senegal
Austria,Serbia (and Kosovo: S/RES/1244 (1999))
Austria,Sierra Leone
Austria,Slovakia
Austria,Somalia
Austria,South Africa
Austria,Sri Lanka
Austria,Stateless
Austria,Sudan
Austria,Syrian Arab Republic
Austria,Tajikistan
Austria,The former Yugoslav Republic of Macedonia
Austria,Togo
Austria,Tunisia
Austria,Turkey
Austria,Turkmenistan
Austria,Uganda
Austria,Ukraine
Austria,United Republic of Tanzania
Austria,United States of America
Austria,Uzbekistan
Austria,Viet Nam
Austria,Yemen
Austria,Zimbabwe
Austria,Various
Azerbaijan,Afghanistan
Azerbaijan,Armenia
Azerbaijan,Cambodia
Azerbaijan,Democratic Republic of the Congo
Azerbaijan,Iran (Islamic Republic of)
Azerbaijan,Iraq
Azerbaijan,Kazakhstan
Azerbaijan,Pakistan
Azerbaijan,Palestinian
Azerbaijan,Russian Federation
Azerbaijan,Syrian Arab Republic
Bahamas,Cuba
Bahamas,Nigeria
Bahrain,Iraq
Bangladesh,Côte d'Ivoire
Bangladesh,Iran (Islamic Republic of)
Bangladesh,Iraq
Bangladesh,Myanmar
Bangladesh,Palestinian
Bangladesh,Somalia
Bangladesh,Sri Lanka
Belarus,Afghanistan
Belarus,Armenia
Belarus,Azerbaijan
Belarus,Egypt
Belarus,Ethiopia
Belarus,Georgia
Belarus,Iran (Islamic Republic of)
Belarus,Iraq
Belarus,Liberia
Belarus,Libya
Belarus,Pakistan
Belarus,Palestinian
Belarus,Rwanda
Belarus,Tajikistan
Belgium,Afghanistan
Belgium,Albania
Belgium,Algeria
Belgium,Angola
Belgium,Armenia
Belgium,Azerbaijan
Belgium,Bangladesh
Belgium,Belarus
Belgium,Benin
Belgium,Bhutan
Belgium,Bolivia (Plurinational State of)
Belgium,Bosnia and Herzegovina
Belgium,Bulgaria
Belgium,Burkina Faso
Belgium,Burundi
Belgium,Cambodia
Belgium,Cameroon
Belgium,Central African Republic
Belgium,Chad
Belgium,Chile
Belgium,China
Belgium,Colombia
Belgium,Congo
Belgium,Côte d'Ivoire
Belgium,Croatia
Belgium,Cuba
Belgium,Czech Republic
Belgium,Democratic People's Republic of Korea
Belgium,Democratic Republic of the Congo
Belgium,Djibouti
Belgium,Dominican Republic
Belgium,Egypt
Belgium,Eritrea
Belgium,Estonia
Belgium,Ethiopia
Belgium,France
Belgium,Gabon
Belgium,Georgia
Belgium,Germany
Belgium,Ghana
Belgium,Guatemala
Belgium,Guinea
Belgium,Guinea-Bissau
Belgium,Haiti
Belgium,Hungary
Belgium,India
Belgium,Iran (Islamic Republic of)
Belgium,Iraq
Belgium,Israel
Belgium,Jordan
Belgium,Kazakhstan
Belgium,Kenya
Belgium,Kuwait
Belgium,Kyrgyzstan
Belgium,Lao People's Democratic Republic
Belgium,Latvia
Belgium,Lebanon
Belgium,Liberia
Belgium,Libya
Belgium,Lithuania
Belgium,Madagascar
Belgium,Malaysia
Belgium,Mali
Belgium,Mauritania
Belgium,Morocco
Belgium,Myanmar
Belgium,Nepal
Belgium,Niger
Belgium,Nigeria
Belgium,Pakistan
Belgium,Palestinian
Belgium,Peru
Belgium,Poland
Belgium,Republic of Moldova
Belgium,Romania
Belgium,Russian Federation
Belgium,Rwanda
Belgium,Senegal
Belgium,Serbia (and Kosovo: S/RES/1244 (1999))
Belgium,Sierra Leone
Belgium,Somalia
Belgium,South Africa
Belgium,Spain
Belgium,Sri Lanka
Belgium,Sudan
Belgium,Syrian Arab Republic
Belgium,Thailand
Belgium,The former Yugoslav Republic of Macedonia
Belgium,Togo
Belgium,Tunisia
Belgium,Turkey
Belgium,Uganda
Belgium,Ukraine
Belgium,United Arab Emirates
Belgium,United Republic of Tanzania
Belgium,Uruguay
Belgium,Uzbekistan
Belgium,Viet Nam
Belgium,Yemen
Belgium,Various
Belize,Cuba
Belize,El Salvador
Benin,Angola
Benin,Burkina Faso
Benin,Burundi
Benin,Cameroon
Benin,Central African Republic
Benin,Chad
Benin,Congo
Benin,Côte d'Ivoire
Benin,Democratic Republic of the Congo
Benin,Equatorial Guinea
Benin,Eritrea
Benin,Ghana
Benin,Nigeria
Benin,Rwanda
Benin,Sierra Leone
Benin,Sudan
Benin,Syrian Arab Republic
Benin,Togo
Bolivia (Plurinational State of),Angola
Bolivia (Plurinational State of),Cameroon
Bolivia (Plurinational State of),Chile
Bolivia (Plurinational State of),Colombia
Bolivia (Plurinational State of),Congo
Bolivia (Plurinational State of),Côte d'Ivoire
Bolivia (Plurinational State of),Cuba
Bolivia (Plurinational State of),Ecuador
Bolivia (Plurinational State of),Ethiopia
Bolivia (Plurinational State of),Ghana
Bolivia (Plurinational State of),Honduras
Bolivia (Plurinational State of),Iraq
Bolivia (Plurinational State of),Israel
Bolivia (Plurinational State of),Peru
Bolivia (Plurinational State of),Portugal
Bolivia (Plurinational State of),Russian Federation
Bolivia (Plurinational State of),Serbia (and Kosovo: S/RES/1244 (1999))
Bolivia (Plurinational State of),Slovakia
Bolivia (Plurinational State of),Ukraine
Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of)
Bosnia and Herzegovina,Algeria
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Eritrea
Bosnia and Herzegovina,Iraq
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Palestinian
Bosnia and Herzegovina,Republic of Moldova
Bosnia and Herzegovina,Saudi Arabia
Bosnia and Herzegovina,Serbia (and Kosovo: S/RES/1244 (1999))
Bosnia and Herzegovina,Sri Lanka
Bosnia and Herzegovina,Syrian Arab Republic
Bosnia and Herzegovina,The former Yugoslav Republic of Macedonia
Botswana,Algeria
Botswana,Burundi
Botswana,Cambodia
Botswana,Democratic Republic of the Congo
Botswana,Ethiopia
Botswana,Kenya
Botswana,Namibia
Botswana,Rwanda
Botswana,Somalia
Botswana,Sudan
Botswana,Uganda
Botswana,Zimbabwe
Brazil,Afghanistan
Brazil,Algeria
Brazil,Angola
Brazil,Argentina
Brazil,Armenia
Brazil,Bangladesh
Brazil,Bhutan
Brazil,Bolivia (Plurinational State of)
Brazil,Bosnia and Herzegovina
Brazil,Burkina Faso
Brazil,Burundi
Brazil,Cameroon
Brazil,Cape Verde
Brazil,Central African Republic
Brazil,Chad
Brazil,Chile
Brazil,Colombia
Brazil,Congo
Brazil,Costa Rica
Brazil,Côte d'Ivoire
Brazil,Croatia
Brazil,Cuba
Brazil,Democratic Republic of the Congo
Brazil,Dominican Republic
Brazil,Ecuador
Brazil,Egypt
Brazil,El Salvador
Brazil,Eritrea
Brazil,Ethiopia
Brazil,Gambia
Brazil,Georgia
Brazil,Ghana
Brazil,Guinea
Brazil,Guinea-Bissau
Brazil,Haiti
Brazil,Hungary
Brazil,Iran (Islamic Republic of)
Brazil,Iraq
Brazil,Jordan
Brazil,Kuwait
Brazil,Lebanon
Brazil,Liberia
Brazil,Libya
Brazil,Mali
Brazil,Mauritania
Brazil,Morocco
Brazil,Mozambique
Brazil,Nepal
Brazil,Nicaragua
Brazil,Nigeria
Brazil,Pakistan
Brazil,Palestinian
Brazil,Paraguay
Brazil,Peru
Brazil,Poland
Brazil,Romania
Brazil,Russian Federation
Brazil,Rwanda
Brazil,Senegal
Brazil,Serbia (and Kosovo: S/RES/1244 (1999))
Brazil,Sierra Leone
Brazil,Slovenia
Brazil,Somalia
Brazil,South Africa
Brazil,Sri Lanka
Brazil,Stateless
Brazil,Sudan
Brazil,Syrian Arab Republic
Brazil,The former Yugoslav Republic of Macedonia
Brazil,Uganda
Brazil,Ukraine
Brazil,United Republic of Tanzania
Brazil,United States of America
Brazil,Uruguay
Brazil,Venezuela (Bolivarian Republic of)
Brazil,Viet Nam
Brazil,Zimbabwe
British Virgin Islands,Sri Lanka
Bulgaria,Afghanistan
Bulgaria,Albania
Bulgaria,Algeria
Bulgaria,Angola
Bulgaria,Armenia
Bulgaria,Azerbaijan
Bulgaria,Bangladesh
Bulgaria,Belarus
Bulgaria,Benin
Bulgaria,Burundi
Bulgaria,Cameroon
Bulgaria,Congo
Bulgaria,Côte d'Ivoire
Bulgaria,Cuba
Bulgaria,Democratic Republic of the Congo
Bulgaria,Egypt
Bulgaria,Eritrea
Bulgaria,Ethiopia
Bulgaria,Georgia
Bulgaria,Guinea
Bulgaria,India
Bulgaria,Iran (Islamic Republic of)
Bulgaria,Iraq
Bulgaria,Jordan
Bulgaria,Lebanon
Bulgaria,Liberia
Bulgaria,Libya
Bulgaria,Nepal
Bulgaria,Nigeria
Bulgaria,Pakistan
Bulgaria,Russian Federation
Bulgaria,Rwanda
Bulgaria,Somalia
Bulgaria,Sri Lanka
Bulgaria,Stateless
Bulgaria,Sudan
Bulgaria,Syrian Arab Republic
Bulgaria,Tunisia
Bulgaria,Turkey
Bulgaria,Uganda
Bulgaria,United Republic of Tanzania
Bulgaria,Zimbabwe
Burkina Faso,Burundi
Burkina Faso,Cameroon
Burkina Faso,Central African Republic
Burkina Faso,Chad
Burkina Faso,Congo
Burkina Faso,Côte d'Ivoire
Burkina Faso,Democratic Republic of the Congo
Burkina Faso,Ghana
Burkina Faso,Guinea
Burkina Faso,Mali
Burkina Faso,Mauritania
Burkina Faso,Rwanda
Burkina Faso,Sudan
Burkina Faso,Togo
Burkina Faso,Viet Nam
Burundi,Benin
Burundi,Democratic Republic of the Congo
Burundi,Mauritania
Burundi,Rwanda
Burundi,Somalia
Burundi,Sudan
Burundi,Zambia
Cambodia,Democratic Republic of the Congo
Cambodia,Myanmar
Cambodia,Pakistan
Cambodia,Somalia
Cambodia,Sri Lanka
Cambodia,Sudan
Cambodia,Viet Nam
Cameroon,Algeria
Cameroon,Angola
Cameroon,Burkina Faso
Cameroon,Burundi
Cameroon,Cambodia
Cameroon,Central African Republic
Cameroon,Chad
Cameroon,Congo
Cameroon,Côte d'Ivoire
Cameroon,Democratic Republic of the Congo
Cameroon,Equatorial Guinea
Cameroon,Eritrea
Cameroon,Gabon
Cameroon,Ghana
Cameroon,Guinea
Cameroon,Liberia
Cameroon,Mauritania
Cameroon,Morocco
Cameroon,Nigeria
Cameroon,Rwanda
Cameroon,Somalia
Cameroon,South Sudan
Cameroon,Sudan
Cameroon,Swaziland
Cameroon,Syrian Arab Republic
Cameroon,Togo
Cameroon,Uganda
Canada,Afghanistan
Canada,Albania
Canada,Algeria
Canada,Angola
Canada,Antigua and Barbuda
Canada,Argentina
Canada,Armenia
Canada,Australia
Canada,Azerbaijan
Canada,Bahamas
Canada,Bahrain
Canada,Bangladesh
Canada,Barbados
Canada,Belarus
Canada,Belgium
Canada,Belize
Canada,Benin
Canada,Bhutan
Canada,Bolivia (Plurinational State of)
Canada,Bosnia and Herzegovina
Canada,Botswana
Canada,Brazil
Canada,Bulgaria
Canada,Burkina Faso
Canada,Burundi
Canada,Cambodia
Canada,Cameroon
Canada,Central African Republic
Canada,Chad
Canada,Chile
Canada,China
Canada,Colombia
Canada,Comoros
Canada,Congo
Canada,Costa Rica
Canada,Côte d'Ivoire
Canada,Croatia
Canada,Cuba
Canada,Cyprus
Canada,Czech Republic
Canada,Democratic People's Republic of Korea
Canada,Democratic Republic of the Congo
Canada,Denmark
Canada,Djibouti
Canada,Dominica
Canada,Dominican Republic
Canada,Ecuador
Canada,Egypt
Canada,El Salvador
Canada,Equatorial Guinea
Canada,Eritrea
Canada,Estonia
Canada,Ethiopia
Canada,Fiji
Canada,Finland
Canada,France
Canada,Gabon
Canada,Gambia
Canada,Georgia
Canada,Germany
Canada,Ghana
Canada,Greece
Canada,Grenada
Canada,Guatemala
Canada,Guinea
Canada,Guinea-Bissau
Canada,Guyana
Canada,Haiti
Canada,Honduras
Canada,"Hong Kong SAR, China"
Canada,Hungary
Canada,India
Canada,Indonesia
Canada,Iran (Islamic Republic of)
Canada,Iraq
Canada,Ireland
Canada,Israel
Canada,Italy
Canada,Jamaica
Canada,Japan
Canada,Jordan
Canada,Kazakhstan
Canada,Kenya
Canada,Kiribati
Canada,Kuwait
Canada,Kyrgyzstan
Canada,Lao People's Democratic Republic
Canada,Latvia
Canada,Lebanon
Canada,Lesotho
Canada,Liberia
Canada,Libya
Canada,Lithuania
Canada,Madagascar
Canada,Malawi
Canada,Malaysia
Canada,Maldives
Canada,Mali
Canada,Malta
Canada,Mauritania
Canada,Mauritius
Canada,Mexico
Canada,Mongolia
Canada,Montenegro
Canada,Morocco
Canada,Mozambique
Canada,Myanmar
Canada,Namibia
Canada,Nepal
Canada,Netherlands
Canada,New Zealand
Canada,Nicaragua
Canada,Niger
Canada,Nigeria
Canada,Norway
Canada,Oman
Canada,Pakistan
Canada,Palestinian
Canada,Panama
Canada,Paraguay
Canada,Peru
Canada,Philippines
Canada,Poland
Canada,Portugal
Canada,Qatar
Canada,Republic of Korea
Canada,Republic of Moldova
Canada,Romania
Canada,Russian Federation
Canada,Rwanda
Canada,Saint Kitts and Nevis
Canada,Saint Lucia
Canada,Saint Vincent and the Grenadines
Canada,San Marino
Canada,Saudi Arabia
Canada,Senegal
Canada,Serbia (and Kosovo: S/RES/1244 (1999))
Canada,Seychelles
Canada,Sierra Leone
Canada,Singapore
Canada,Slovakia
Canada,Slovenia
Canada,Solomon Islands
Canada,Somalia
Canada,South Africa
Canada,Spain
Canada,Sri Lanka
Canada,Stateless
Canada,Sudan
Canada,Suriname
Canada,Swaziland
Canada,Sweden
Canada,Switzerland
Canada,Syrian Arab Republic
Canada,Tajikistan
Canada,Thailand
Canada,The former Yugoslav Republic of Macedonia
Canada,Togo
Canada,Trinidad and Tobago
Canada,Tunisia
Canada,Turkey
Canada,Turkmenistan
Canada,Uganda
Canada,Ukraine
Canada,United Arab Emirates
Canada,United Kingdom of Great Britain and Northern Ireland
Canada,United Republic of Tanzania
Canada,United States of America
Canada,Uruguay
Canada,Uzbekistan
Canada,Venezuela (Bolivarian Republic of)
Canada,Viet Nam
Canada,Yemen
Canada,Zambia
Canada,Zimbabwe
Canada,Various
Cayman Islands,Afghanistan
Cayman Islands,Cuba
Central African Republic,Angola
Central African Republic,Burundi
Central African Republic,Cameroon
Central African Republic,Chad
Central African Republic,Congo
Central African Republic,Côte d'Ivoire
Central African Republic,Democratic Republic of the Congo
Central African Republic,Guinea
Central African Republic,Liberia
Central African Republic,Niger
Central African Republic,Rwanda
Central African Republic,Sierra Leone
Central African Republic,Sudan
Central African Republic,Uganda
Central African Republic,United Republic of Tanzania
Chad,Afghanistan
Chad,Cameroon
Chad,Central African Republic
Chad,Congo
Chad,Côte d'Ivoire
Chad,Democratic Republic of the Congo
Chad,Eritrea
Chad,Ethiopia
Chad,Guinea
Chad,Iran (Islamic Republic of)
Chad,Liberia
Chad,Libya
Chad,Mali
Chad,Niger
Chad,Rwanda
Chad,Somalia
Chad,Sudan
Chad,Syrian Arab Republic
Chad,Togo
Chad,Yemen
Chile,Afghanistan
Chile,Argentina
Chile,Cameroon
Chile,Colombia
Chile,Costa Rica
Chile,Cuba
Chile,Democratic Republic of the Congo
Chile,Ecuador
Chile,El Salvador
Chile,Haiti
Chile,Iraq
Chile,Kenya
Chile,Nigeria
Chile,Palestinian
Chile,Peru
Chile,Somalia
Chile,Sri Lanka
Chile,Various
China,Afghanistan
China,Iran (Islamic Republic of)
China,Iraq
China,Pakistan
China,Palestinian
China,Rwanda
China,Somalia
China,Viet Nam
Colombia,Afghanistan
Colombia,Angola
Colombia,Benin
Colombia,Bolivia (Plurinational State of)
Colombia,China
Colombia,Congo
Colombia,Cuba
Colombia,Democratic Republic of the Congo
Colombia,Dominican Republic
Colombia,Ecuador
Colombia,El Salvador
Colombia,Eritrea
Colombia,Ethiopia
Colombia,Ghana
Colombia,Haiti
Colombia,Hungary
Colombia,Iran (Islamic Republic of)
Colombia,Iraq
Colombia,Liberia
Colombia,Mauritania
Colombia,Nepal
Colombia,Nicaragua
Colombia,Palestinian
Colombia,Peru
Colombia,Romania
Colombia,Russian Federation
Colombia,Serbia (and Kosovo: S/RES/1244 (1999))
Colombia,Sierra Leone
Colombia,Somalia
Colombia,Sri Lanka
Colombia,Stateless
Colombia,Sudan
Colombia,Syrian Arab Republic
Colombia,Turkey
Colombia,Venezuela (Bolivarian Republic of)
Congo,Angola
Congo,Burundi
Congo,Cameroon
Congo,Central African Republic
Congo,Chad
Congo,Côte d'Ivoire
Congo,Democratic Republic of the Congo
Congo,Iran (Islamic Republic of)
Congo,Liberia
Congo,Mali
Congo,Mauritania
Congo,Nigeria
Congo,Rwanda
Congo,Sierra Leone
Congo,Sri Lanka
Congo,Sudan
Congo,Togo
Congo,Uganda
Costa Rica,Afghanistan
Costa Rica,Angola
Costa Rica,Argentina
Costa Rica,Armenia
Costa Rica,Belarus
Costa Rica,Bolivia (Plurinational State of)
Costa Rica,Bulgaria
Costa Rica,China
Costa Rica,Colombia
Costa Rica,Côte d'Ivoire
Costa Rica,Cuba
Costa Rica,Cyprus
Costa Rica,Democratic Republic of the Congo
Costa Rica,Dominican Republic
Costa Rica,El Salvador
Costa Rica,Eritrea
Costa Rica,Ethiopia
Costa Rica,Georgia
Costa Rica,Germany
Costa Rica,Ghana
Costa Rica,Guatemala
Costa Rica,Haiti
Costa Rica,Honduras
Costa Rica,India
Costa Rica,Iran (Islamic Republic of)
Costa Rica,Israel
Costa Rica,Liberia
Costa Rica,Mexico
Costa Rica,Nicaragua
Costa Rica,Nigeria
Costa Rica,Panama
Costa Rica,Peru
Costa Rica,Republic of Moldova
Costa Rica,Romania
Costa Rica,Russian Federation
Costa Rica,Sierra Leone
Costa Rica,Somalia
Costa Rica,South Africa
Costa Rica,Sudan
Costa Rica,Uganda
Costa Rica,Ukraine
Costa Rica,United States of America
Costa Rica,Uzbekistan
Costa Rica,Venezuela (Bolivarian Republic of)
Costa Rica,Various
Côte d'Ivoire,Afghanistan
Côte d'Ivoire,Angola
Côte d'Ivoire,Benin
Côte d'Ivoire,Burkina Faso
Côte d'Ivoire,Burundi
Côte d'Ivoire,Cambodia
Côte d'Ivoire,Cameroon
Côte d'Ivoire,Central African Republic
Côte d'Ivoire,Chad
Côte d'Ivoire,Congo
Côte d'Ivoire,Democratic Republic of the Congo
Côte d'Ivoire,Eritrea
Côte d'Ivoire,Ethiopia
Côte d'Ivoire,Ghana
Côte d'Ivoire,Guinea
Côte d'Ivoire,Iran (Islamic Republic of)
Côte d'Ivoire,Lebanon
Côte d'Ivoire,Liberia
Côte d'Ivoire,Mauritania
Côte d'Ivoire,Niger
Côte d'Ivoire,Nigeria
Côte d'Ivoire,Pakistan
Côte d'Ivoire,Rwanda
Côte d'Ivoire,Sri Lanka
Côte d'Ivoire,Sudan
Côte d'Ivoire,Togo
Côte d'Ivoire,Uganda
Côte d'Ivoire,Viet Nam
Croatia,Afghanistan
Croatia,Armenia
Croatia,Bosnia and Herzegovina
Croatia,Congo
Croatia,Eritrea
Croatia,Georgia
Croatia,Iraq
Croatia,Nigeria
Croatia,Republic of Moldova
Croatia,Russian Federation
Croatia,Serbia (and Kosovo: S/RES/1244 (1999))
Croatia,Sudan
Croatia,Syrian Arab Republic
Croatia,Turkey
Croatia,Ukraine
Croatia,Uzbekistan
Croatia,Zimbabwe
Croatia,Various
Cuba,Colombia
Cuba,Eritrea
Cuba,Ethiopia
Cuba,Haiti
Cuba,Kazakhstan
Cuba,Palestinian
Cuba,Syrian Arab Republic
Cuba,Western Sahara
Curacao,Colombia
Curacao,Cuba
Curacao,Jamaica
Cyprus,Afghanistan
Cyprus,Algeria
Cyprus,Armenia
Cyprus,Bangladesh
Cyprus,Bosnia and Herzegovina
Cyprus,Burkina Faso
Cyprus,Cameroon
Cyprus,China
Cyprus,Croatia
Cyprus,Cuba
Cyprus,Democratic Republic of the Congo
Cyprus,Egypt
Cyprus,Eritrea
Cyprus,Ethiopia
Cyprus,Georgia
Cyprus,Ghana
Cyprus,Guinea
Cyprus,India
Cyprus,Indonesia
Cyprus,Iran (Islamic Republic of)
Cyprus,Iraq
Cyprus,Jordan
Cyprus,Kyrgyzstan
Cyprus,Lebanon
Cyprus,Liberia
Cyprus,Libya
Cyprus,Mali
Cyprus,Morocco
Cyprus,Nepal
Cyprus,Nigeria
Cyprus,Pakistan
Cyprus,Palestinian
Cyprus,Philippines
Cyprus,Republic of Moldova
Cyprus,Russian Federation
Cyprus,Serbia (and Kosovo: S/RES/1244 (1999))
Cyprus,Sierra Leone
Cyprus,Somalia
Cyprus,Sri Lanka
Cyprus,Stateless
Cyprus,Sudan
Cyprus,Syrian Arab Republic
Cyprus,Tajikistan
Cyprus,The former Yugoslav Republic of Macedonia
Cyprus,Turkey
Cyprus,Ukraine
